Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Alec Peters,34,34,1039,27.1,0.627,0.593,0.446,0.293,501,7.5,17.8,12.9,9.5,1.4,1.3,9.7,25.7,,4.6,2.1,6.7,0.257,,6.6,-0.1,6.5
2,Vashil Fernandez,34,32,841,19.9,0.558,0.564,0,0.57,232,11.4,16.6,14.1,2.6,1.1,14.1,13.2,15.2,,1.5,2.2,3.7,0.174,,-1.4,8,6.6
3,Tevonn Walker,34,33,920,17.2,0.539,0.494,0.295,0.437,337,4.9,9.6,7.4,12.8,2.5,0.4,13.8,21.6,,1.9,1.7,3.7,0.159,,1.2,1,2.2
4,Darien Walker,34,29,924,15.7,0.489,0.467,0.441,0.249,346,4.1,15.2,9.9,13.7,1.8,1.3,13.1,24.5,,1.3,1.8,3.1,0.135,,-0.2,0.9,0.6
5,Keith Carter,24,17,662,17.4,0.572,0.559,0.534,0.193,217,2.2,12.4,7.5,26.8,2.8,1.1,19.7,17.5,,1.4,1.4,2.8,0.167,,2.5,2,4.5
6,David Skara,34,1,673,14.6,0.567,0.521,0.343,0.336,198,5.1,13.5,9.5,17.3,1.9,1.8,22.1,16.4,,1,1.3,2.4,0.141,,0.2,2.4,2.6
7,Jubril Adekoya,32,4,633,12.7,0.506,0.483,0.026,0.581,162,9.7,15.1,12.5,6.3,1.7,1.5,16.3,14.9,,0.7,1.3,2,0.126,,-1.7,2.1,0.4
8,E. Victor Nickerson,33,17,629,11.7,0.501,0.45,0.253,0.441,217,3.5,9.6,6.7,20.3,2.3,1,24.9,23,,0.2,1.2,1.4,0.088,,-2.8,1,-1.8
9,Max Joseph,28,0,306,6.8,0.507,0.486,0.324,0.757,65,3.6,7.1,5.4,18.1,1.6,1.2,34.9,13.4,,0,0.5,0.5,0.06,,-3.5,0.8,-2.7
10,Nick Davidson,15,1,94,13,0.563,0.5,0.636,0.273,28,3.9,6,5,12.1,2,0,19.4,17.4,,0.2,0.1,0.3,0.127,,0.2,-0.9,-0.7
11,David Chadwick,12,2,105,9.6,0.487,0.521,0.417,0.417,25,4.7,11.9,8.4,3.7,0,4.7,14.8,17,,0,0.2,0.2,0.078,,-3.6,0.4,-3.2
