Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Luke Kornet,35,35,1101,20.1,0.547,0.48,0.454,0.392,444,5.9,16.6,11.5,8.7,1,6.7,9.6,22.7,,2.4,1.9,4.3,0.156,,3.2,5,8.2
2,Riley LaChance,35,34,1090,16,0.648,0.607,0.583,0.316,386,0.8,11,6.1,26.5,1.1,0.1,19.1,17.1,,2.7,1.2,3.9,0.144,,5.3,1.2,6.6
3,Jeff Roberson,35,35,1108,15.9,0.541,0.483,0.392,0.413,398,7.7,17.7,12.9,11.7,1.6,1.2,15.4,19.9,,1.8,1.7,3.5,0.126,,2.8,3.6,6.4
4,Matthew Fisher-Davis,34,21,947,17.1,0.567,0.521,0.63,0.337,409,1.4,11.5,6.7,8.7,1.3,0.9,11.1,26.3,,1.8,1.2,3,0.126,,4.2,0.2,4.4
5,Nolan Cressler,35,22,828,15.5,0.608,0.599,0.389,0.159,267,4.1,15.9,10.3,16.3,1.4,0.1,16.7,17.3,,1.5,1.1,2.6,0.125,,3.5,2.7,6.2
6,Joe Toye,35,13,739,10.3,0.528,0.489,0.446,0.446,221,3.5,10.7,7.2,10.6,1.1,0.7,17.2,18.4,,0.6,0.9,1.4,0.077,,0.6,1.8,2.4
7,Payton Willis,35,12,614,11.1,0.544,0.525,0.563,0.359,195,2.4,9.3,6,21.8,1.6,1,25.2,19.3,,0.3,0.7,1,0.066,,0.8,1.7,2.6
8,Djery Baptiste,35,2,274,8.6,0.548,0.521,0,0.417,67,11.1,16.3,13.8,0.7,0.9,5.3,29.4,15.8,,0,0.4,0.4,0.062,,-4.1,3.1,-1
9,Clevon Brown,34,1,259,7.6,0.485,0.471,0.529,0.235,57,7.5,14.6,11.2,2.3,0.2,5.6,22,14.9,,-0.1,0.4,0.3,0.048,,-2.6,3.1,0.5
10,Camron Justice,7,0,65,4.1,0.318,0.281,0.5,0.375,15,0,10.3,5.4,20.8,2.7,0,17.5,18.7,,-0.1,0.1,0,-0.009,,-4.1,1.7,-2.4
11,Phillip McGloin,2,0,0,,,,,,,,,,,,,,,,0,0,0,,,-2.9,3.1,0.2
