Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,A.J. Hoggard,G,31,30,810,12.9,0.452,0.324,0.311,347,1.2,11.1,5.9,31.4,2.6,1.1,17.2,24.5,0.4,0.8,1.3,0.062,0.6,0.8,1.4,
2,Jason Edwards,G,32,23,801,21.4,0.578,0.45,0.442,468,0.8,8.2,4.3,10.6,2.1,0,9.9,31.9,2.4,0.6,3,0.152,6.1,0.3,6.4,
3,Devin McGlockton,F,32,32,796,23.8,0.635,0.315,0.243,335,14,23.2,18.4,7.4,1.8,5.1,9.3,17.7,2.7,1.2,3.8,0.193,5.7,1.7,7.4,
4,Tyler Nickel,F,32,32,792,16.8,0.602,0.756,0.201,292,3.1,8.3,5.6,6.8,1.2,2.5,4.8,18,2.2,0.6,2.7,0.138,6.3,0.4,6.7,
5,Tyler Tanner,G,32,0,660,16.1,0.537,0.399,0.203,194,2.5,10.5,6.3,16.1,4.7,0.9,7.5,13.9,1.2,0.9,2.2,0.131,1.3,5,6.3,
6,Jaylen Carey,F,32,1,652,17,0.525,0.176,0.386,270,12.7,20.9,16.6,7.4,1.7,3.7,15.9,22.1,0.8,0.8,1.7,0.103,0.9,0.5,1.4,
7,MJ Collins,G,31,1,646,11.8,0.522,0.46,0.295,216,4.3,9.2,6.6,4.4,1.7,0,11.6,19.5,0.7,0.5,1.1,0.069,1.3,-0.1,1.1,
8,Chris Manon,G,32,25,570,23.1,0.624,0.256,0.628,221,8.9,14.7,11.7,12.2,5.4,6.5,14.3,16.8,1.6,1.1,2.7,0.191,3.9,6.4,10.3,
9,Grant Huffman,G,28,16,456.3,10.6,0.509,0.275,0.375,114,2.2,10.6,6.2,16.1,3.5,1.1,19.6,11.3,0.4,0.6,1,0.077,-1.9,3.6,1.7,
10,"JaQualon ""JQ"" Roberts",F,20,0,96,11.4,0.703,0.111,1.222,20,5.8,15.2,10.3,1.6,1.2,4.8,12.3,8.3,0.2,0.1,0.3,0.117,-2.4,1.8,-0.5,
11,Jordan Williams,G,10,0,37,6.3,0.502,0.455,0.182,10,3,16.4,9.4,0,0,0,20.1,19.7,0,0,0,-0.008,-5.4,-3.8,-9.2,
12,Coleson Messer,G,8,0,17,-4.9,0,0.5,0,2,0,21.5,10.2,25.4,3.4,0,33.3,17.2,-0.1,0,-0.1,-0.154,-13.1,-0.3,-13.4,
13,Miles Keeffe,G,8,0,16,26.7,0.825,0.5,3,9,6.9,22.8,14.5,19.8,0,0,17.1,17.9,0.1,0,0.1,0.269,6.1,1.4,7.5,
14,Graham Calton,G,8,0,15,0.7,0.333,0.667,0,2,0,8.1,3.9,0,0,0,0,9.8,0,0,0,-0.012,-7.8,-1.9,-9.7,
15,Hollman Smith,G,6,0,9,-7.5,0,1,0,0,0,40.5,19.3,0,0,0,0,10.9,0,0,0,-0.088,-16.8,-1.9,-18.7,
,Team Totals,,32,32,6424,,0.554,0.402,0.34,,,,,,,,,,12.4,7.4,19.8,0.123,2.8,1.8,4.5,
