Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,TJ Long,34,33,955,18.3,0.578,0.55,0.634,0.204,367,1.4,14.8,8.3,9.7,2.2,1.5,8.9,22.5,,1.9,2,3.8,0.161,,1.8,0.9,2.7
2,Ileri Ayo-Faleye,33,32,775,18.1,0.553,0.497,0.326,0.586,264,6.9,17.1,12.2,7.9,1.7,6.8,10.5,18.2,,1.5,1.9,3.4,0.174,,-0.9,2.4,1.6
3,Aaron Deloney,34,17,884,16.7,0.55,0.513,0.53,0.252,378,1.9,9.5,5.8,23.1,0.9,0,10.3,23.2,,2,1.4,3.4,0.153,,1.5,-0.8,0.7
4,Shamir Bogues,28,27,772,21.5,0.542,0.527,0.149,0.247,321,6.1,15.9,11.2,19.3,4.2,1.8,13.4,23.2,,1.4,2,3.3,0.173,,1,3.6,4.7
5,Matt Veretto,28,25,300.632,17.6,0.546,0.527,0.614,0.242,237,3.1,13.8,8.6,12.2,1.4,2.8,4.2,20.8,,1.4,1.2,2.7,0.169,,0.9,0.7,1.5
6,Sam Alamutu,34,2,538,18.9,0.604,0.611,0.148,0.269,168,11.7,21.5,16.8,9.5,1.4,2.6,10.3,13.8,,1.4,1.2,2.5,0.189,,1.1,1,2.1
7,Nick Fiorillo,27,9,611,16.1,0.569,0.534,0.424,0.384,243,4,12.4,8.3,18.3,1.2,3.2,17,22.5,,1,1.2,2.1,0.14,,0.3,0.9,1.2
8,TJ Hurley,30,21,707,11.8,0.582,0.533,0.556,0.325,207,1.9,11.4,6.8,6.5,0.9,0.6,12.2,17.1,,1,1.2,2.1,0.12,,-1.9,-0.4,-2.3
9,Jace Roquemore,28,3,441,14.2,0.573,0.571,0.321,0.321,110,1.1,17.2,9.4,16.4,2.5,1.2,18.2,13.6,,0.5,1,1.4,0.129,,-1.2,3,1.8
10,Brenton Mills,25,1,295,6.6,0.431,0.429,0.486,0.129,68,3.3,12.3,7.9,10.4,0.8,0,15.9,16.3,,-0.1,0.5,0.3,0.047,,-5.2,-0.8,-6
11,Seth Joba,15,0,109,8.8,0.519,0.5,0.214,0.357,34,5.6,15.6,10.7,7,0.6,3,21.6,20.9,,0,0.2,0.2,0.069,,-5.7,0.5,-5.2
12,Michel Ndayishimiye,7,0,30,32.5,0.905,0.889,0.778,0.222,15,0,11.3,5.9,22.5,6.1,0,23.2,23.5,,0.1,0.1,0.2,0.284,,-14.4,-3.3,-17.7
13,Jackson Skipper,10,0,77,12,0.698,0.719,0.563,0.063,20,4.7,14.7,9.9,4.9,1.6,0,23.3,15.2,,0.1,0.1,0.2,0.115,,-3.5,-0.5,-4
