Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Josh Hart,36,35,1193,28.2,0.619,0.59,0.395,0.367,648,5.9,17.5,12.2,18.8,2.8,1,11.5,27.8,,5.1,2.6,7.7,0.257,,8.2,4,12.1
2,Jalen Brunson,36,36,1118,23.3,0.655,0.604,0.328,0.405,541,2.1,7.9,5.3,26.1,1.7,0,15.5,23,,4.6,1.7,6.2,0.223,,6.9,1.2,8.1
3,Mikal Bridges,36,33,1073,21,0.676,0.644,0.481,0.24,349,5.2,13.5,9.7,12,3.5,3.5,15.1,15.3,,3.1,2.4,5.5,0.205,,6.5,6.9,13.4
4,Kris Jenkins,36,34,1118,17.7,0.553,0.5,0.646,0.314,443,1.6,14.2,8.4,12,2.2,1.1,10.9,23,,2.6,2.1,4.7,0.168,,4,2.7,6.7
5,Donte DiVincenzo,36,1,919,16.9,0.582,0.556,0.491,0.355,322,5.5,12.7,9.4,12,2.2,1.3,15.7,19,,1.9,1.7,3.6,0.157,,3.9,3.6,7.5
6,Eric Paschall,36,8,781,15.2,0.583,0.562,0.349,0.303,255,8.6,12.9,10.9,5.2,1.5,2.7,16.2,18.3,,1.4,1.4,2.8,0.142,,2.2,3.3,5.5
7,Darryl Reynolds,31,30,738,14.7,0.692,0.688,0,0.538,164,11.7,16.5,14.3,4.1,1.3,4.7,25.8,9.9,,1.2,1.5,2.7,0.146,,2.7,6.2,8.9
8,Dylan Painter,22,0,127,7.1,0.508,0.429,0.214,0.857,22,7.6,22.1,15.4,0,0.5,0,20.2,10.5,,0.1,0.2,0.3,0.09,,-3.2,-1,-4.2
9,Phil Booth,3,3,72,4,0.407,0.342,0.526,0.211,19,1.9,6.5,4.4,13.9,0.8,0,22.3,20.1,,-0.1,0.1,0,0.017,,-3.5,0,-3.4
10,Tim Delaney,7,0,26,-1.6,0.75,0.75,1,0,2,0,9,4.9,0,0,0,50,8.3,,0,0,0,0.006,,-2.5,-0.1,-2.5
11,Denny Grace,7,0,10,-6.4,,,,,0,0,23.4,12.6,0,0,0,100,5.4,,0,0,0,-0.036,,-9.1,2.4,-6.7
12,Matt Kennedy,7,0,14,3.4,,,,,1,9.8,0,4.5,0,0,0,,0,,0,0,0,0.068,,0.6,2.4,3
13,Tom Leibig,7,0,11,8.5,0,,,,0,0,31.9,17.2,0,5.5,0,0,2.3,,0,0,0,0.089,,-4.9,6.3,1.3
