Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Malcolm Brogdon,37,37,1163,20.8,0.545,0.474,0.328,0.397,460,3.6,17.3,10.7,19.4,2.5,0.5,10.9,23.5,,3.1,3,6,0.208,,5.1,5,10.1
2,Joe Harris,37,37,1066,18.7,0.565,0.547,0.533,0.337,407,2.7,9.8,6.3,18.1,2.2,0.9,10.9,23.3,,2.6,2.4,5,0.187,,6.3,3.3,9.6
3,London Perrantes,37,33,1105,12.3,0.555,0.503,0.547,0.314,244,0.9,7.9,4.5,24.3,2,0.4,18,11.4,,1.8,2.3,4,0.146,,2.9,3.6,6.5
4,Akil Mitchell,37,36,952,17.1,0.54,0.561,0.005,0.513,261,9.7,23.5,16.9,9.9,2,2.6,17.4,16.7,,1.1,2.7,3.8,0.158,,1,7,8
5,Anthony Gill,37,6,732,21,0.608,0.587,0,0.81,286,8.6,16.2,12.5,5.2,1,3.3,13.5,23.4,,1.9,1.7,3.6,0.198,,2.1,3.6,5.6
6,Justin Anderson,37,5,799,15.6,0.516,0.47,0.432,0.403,279,4.2,14.1,9.3,14.8,1.1,4.2,15.4,23.5,,1,1.9,2.8,0.141,,1.7,4.9,6.5
7,Mike Tobey,37,28,668,17.6,0.509,0.483,0.015,0.272,232,13.5,12.4,12.9,3.9,0.9,7,12.8,22.5,,0.9,1.6,2.5,0.152,,-0.4,5.2,4.8
8,Darion Atkins,37,3,386,13.9,0.504,0.484,0,0.387,113,11.3,14.9,13.2,6.2,1,5.9,18.5,19.8,,0.2,1,1.2,0.123,,-1.8,5.8,4
9,Evan Nolte,32,0,297,12,0.562,0.523,0.773,0.394,78,3,8.1,5.6,5.5,1.6,1.2,11.3,16.8,,0.5,0.6,1.1,0.144,,3,2.4,5.3
10,Teven Jones,29,0,126,0.6,0.222,0.167,0.292,0.667,18,2,2.8,2.5,11.7,2.1,0,3.1,14.6,,-0.2,0.2,0.1,0.016,,-4.8,2.1,-2.6
11,Rob Vozenilek,12,0,30,12,0.541,0.583,0.333,0.167,8,4.3,19.9,12.4,28,0,4,31.7,17.8,,0,0.1,0.1,0.095,,-1.6,4.8,3.2
12,Jeff Jones,10,0,21,8.3,0.339,0.333,0.333,1,3,0,28.5,14.8,0,3.1,5.7,18.4,14.6,,0,0.1,0,0.054,,-8.7,5.2,-3.5
13,Caid Kirven,13,0,27,3.9,0.5,0.5,0,0,4,4.8,4.4,4.6,0,0,0,20,10.5,,0,0,0,0.053,,-3.6,0.7,-2.9
14,Thomas Rogers,17,0,33,6.3,0.719,0.75,0.833,0.333,8,0,21.7,11.3,6.3,0,0,41.8,20.5,,0,0.1,0,0.031,,-3.3,1.3,-2
15,Maleek Frazier,12,0,23,-13,0,0,0.25,0,1,0,10.4,5.4,15.1,2.9,5.2,50,19.6,,-0.2,0.1,-0.1,-0.189,,-16.3,8.1,-8.2
