Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Melvin Johnson,36,36,1134,20.1,0.544,0.52,0.54,0.161,554,2,7.7,4.7,13.8,2.3,0.2,8.6,27,,3,1.7,4.7,0.166,,5.7,0.3,6
2,Mo Alie-Cox,36,36,960,22.6,0.65,0.612,0,0.612,369,9.9,11.8,10.8,7,1.5,7.4,15.2,17.2,,2.8,1.8,4.6,0.191,,3.6,6.5,10.1
3,JeQuan Lewis,36,34,1031,18.6,0.598,0.542,0.368,0.389,442,0.8,9.5,5,31.3,3.2,0.1,21.8,20.5,,2.4,1.8,4.2,0.163,,4,2,6.1
4,Korey Billbury,36,27,1009,15,0.497,0.474,0.295,0.248,381,6.2,13.5,9.7,8,2.2,0.3,10.6,21.8,,1.4,1.7,3.1,0.122,,1.2,2,3.3
5,Justin Tillman,36,4,593,24.9,0.602,0.603,0.006,0.425,250,15.1,26.7,20.7,2.6,1.2,3,9.7,19.5,,1.8,1.2,3.1,0.207,,1.9,1.4,3.3
6,Doug Brooks,36,0,579,14,0.443,0.395,0.743,0.318,160,2.4,15.3,8.6,13.3,6.8,0.9,13.2,16.4,,0.3,1.6,2,0.136,,2.2,7,9.2
7,Ahmed Hamdy Mohamed,36,0,423,18,0.509,0.5,0.006,0.461,185,13.5,18.2,15.8,2.8,1.1,4.7,13.8,25,,0.6,0.8,1.4,0.128,,-2.2,1.4,-0.7
8,Jordan Burgess,28,14,612,9.3,0.421,0.406,0.566,0.273,148,4.9,17.1,10.8,9.8,1.4,2.1,13.9,14.9,,0.1,1.1,1.2,0.079,,-0.6,3.7,3.1
9,Jonathan Williams,32,11,456,11.7,0.5,0.467,0.095,0.381,135,1.2,9.2,5,20.4,3,0,19.5,16.4,,0.3,0.8,1.1,0.099,,-0.9,2.4,1.5
10,Michael Gilmore,30,18,346,12.5,0.558,0.558,0.436,0.218,93,6.2,21.5,13.6,5.9,2,2.1,19.6,15,,0.3,0.7,1,0.115,,-0.2,3.6,3.4
11,Torey Burston,20,0,66,3.3,0.168,0.125,0.125,0.25,6,3.3,7.1,5.1,11.1,2.6,0,10.1,7.3,,0,0.1,0.1,0.035,,-3.8,3.6,-0.1
12,Gerron Scissum,13,0,29,9.1,0.302,0.333,0.333,0.222,8,18.6,12,15.5,5.8,0,3.6,0,16.6,,0,0,0.1,0.072,,-1,1,0
13,Jordan Riullano,8,0,12,-11.3,0.202,0,0.5,0.5,2,0,9.7,4.7,12,4.8,0,28.8,28.1,,-0.1,0,0,-0.16,,-13,2.3,-10.7
