Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Max Shulga,G,34,34,1114,23.7,0.596,0.515,0.55,532,6.1,14.1,10.1,23.1,3.3,0.4,11.3,21.9,4.3,2.7,7,0.252,6.1,3.8,9.9,
2,Jack Clark,G,34,34,972,18.4,0.604,0.577,0.272,323,6.7,20.1,13.4,12.3,2.2,1.7,11.8,15.8,2.4,2.5,4.9,0.203,3.4,3.3,6.7,
3,Joseph Bamisile,G,34,34,904,20.8,0.548,0.458,0.212,465,6.8,14.4,10.6,16.5,2.4,3,15.6,30.6,1.6,2.2,3.8,0.167,4.4,1.5,5.8,
4,Phillip Russell,G,33,33,770,15.9,0.568,0.693,0.289,329,2.6,5.5,4.1,18.2,2.9,0,14,23.2,1.8,1.5,3.3,0.174,1,1.9,2.9,
5,Christian Fermin,C,33,11,652,13.6,0.555,0.008,0.285,164,10.3,7.5,8.9,5.8,0.8,8,14.1,12.5,0.9,1.3,2.2,0.138,-1.4,2.7,1.3,
6,Zeb Jackson,G,29,1,650,18.8,0.539,0.551,0.415,298,5,13.2,9.1,17.3,3,0.7,12.5,24.7,1.7,1.6,3.2,0.198,2.7,2.7,5.5,
7,Luke Bamgboye,F,34,23,563,17.6,0.579,0.011,0.398,138,11.2,11.1,11.1,5,1.9,14.9,18.4,12.1,0.7,1.5,2.2,0.158,-1.1,5.7,4.6,
8,Brandon Jennings,G,34,0,444,11,0.473,0.325,0.361,109,7.8,12.1,10,10.6,2.6,3.1,14.9,12.9,0.5,1.1,1.5,0.137,-1.4,3.8,2.4,
9,Michael Belle,F,34,0,435,12.6,0.458,0.316,0.242,108,6.7,20,13.4,11.4,2.1,2.3,13.8,14.2,0.3,1.1,1.4,0.128,-1.6,2.6,1.1,
10,Alphonzo Billups III,G,22,0,160,15.4,0.508,0.754,0.031,60,4.9,9.8,7.3,11.1,2.6,0,7,22.2,0.3,0.3,0.6,0.16,1.5,1.2,2.7,
11,Terrence Hill Jr.,G,22,0,143,15,0.602,0.582,0.309,64,1.6,8.6,5.1,9.9,2.1,0,19.2,27.4,0.2,0.3,0.5,0.143,-1.9,0.3,-1.6,
12,Obinnaya Okafor,F,13,0,17,11.5,0.678,0,1,4,6.6,19.7,13.2,9.8,0,0,25.3,11.6,0,0,0.1,0.156,2.2,1.8,4,
,Team Totals,,34,34,6824,,0.56,0.476,0.328,,,,,,,,,,14.7,16.2,30.9,0.181,2,2.9,5,
