Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Zach LeDay,32,5,945,25.8,0.614,0.554,0.118,0.632,517,10.7,18.6,14.9,8.4,1.2,3.6,12.3,26.9,,3.5,1.1,4.6,0.196,,4.2,2,6.2
2,Chris Clarke,24,19,694,22.3,0.625,0.597,0.079,0.691,303,6.5,22.6,15.1,21.6,2.5,1,18.3,20.1,,2,1,3,0.174,,4.5,4.5,9
3,Seth Allen,32,5,925,17.6,0.647,0.626,0.42,0.356,405,1.1,8,4.8,22.6,1.5,0.6,21.7,22.8,,2,0.6,2.7,0.115,,4.6,0.1,4.7
4,Justin Robinson,33,33,1040,13.9,0.559,0.494,0.45,0.554,405,2,9,5.8,26.9,1.3,0.6,21,19.2,,1.9,0.7,2.6,0.099,,2.8,0.7,3.5
5,Ahmed Hill,33,28,979,13.5,0.584,0.553,0.572,0.344,336,1.3,11.1,6.6,7.6,0.5,0.6,10.3,19,,1.8,0.6,2.3,0.096,,3.4,-0.2,3.2
6,Justin Bibbs,33,33,1032,10.4,0.559,0.542,0.615,0.159,292,1.4,8.9,5.4,9.3,0.7,0.3,11.1,15.9,,1.3,0.5,1.8,0.07,,2.8,0.4,3.2
7,Ty Outlaw,33,14,585,15.1,0.687,0.682,0.801,0.068,168,2.4,15.7,9.6,3.4,0.9,1.7,9,14.7,,1.3,0.5,1.8,0.122,,4.9,0.5,5.4
8,Khadim Sy,32,28,364,15.4,0.578,0.572,0.01,0.278,123,10,17.8,14.2,3.2,0.5,5.6,17.9,19.1,,0.4,0.4,0.8,0.092,,-1.4,2.2,0.8
9,Johnny Hamilton,3,0,21,36.1,0.803,1,0,1.5,10,18.5,5.3,11.4,0,5.5,4.9,0,16.9,,0.1,0,0.2,0.305,,10.6,2.4,13
10,Seth LeDay,1,0,25,26.4,0.543,0.455,0,0.364,16,20.8,13.4,16.8,17.1,0,0,7.2,28.9,,0.1,0,0.1,0.208,,5.2,-1.6,3.6
11,Greg Donlon,1,0,1,-44.5,0,0,0,0,0,0,0,0,0,0,0,0,51.9,,0,0,0,-0.753,,-43.7,-12.9,-56.6
12,Matt Galloway,14,0,39,-5.4,0.167,0.167,1,0,3,0,2.9,1.5,4,1.5,0,0,12,,-0.1,0,-0.1,-0.072,,-3.9,-0.7,-4.7
