Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Melvin Council Jr.,31,25,1101,16.7,0.459,0.416,0.254,0.254,452,3.8,15.1,9.2,23.5,2.5,2.1,10.7,27,,1,2.3,3.3,0.119,,-0.6,0,-0.6
2,Julian Brown,30,17,908,11.7,0.514,0.472,0.687,0.245,266,2.4,9.4,5.7,12.3,1.1,1,10,18.3,,1.1,1.4,2.5,0.111,,-1.7,-1.3,-3
3,Keyontae Lewis,31,31,654,16.9,0.561,0.548,0,0.331,203,12.8,16.3,14.5,5,0.4,3.1,11.2,16.8,,1.2,1.2,2.4,0.147,,-2,-1.9,-3.9
4,Tahron Allen,30,22,841,14.2,0.488,0.449,0.192,0.321,304,7.3,13.7,10.3,8.1,1.4,0.9,10.5,23.6,,0.8,1.5,2.3,0.11,,-1.8,-1.7,-3.5
5,Javier Ezquerra,31,31,1063,9.6,0.447,0.439,0.646,0.089,257,2.1,11.4,6.5,25.7,2.5,0,20.8,15.8,,0,2,2,0.074,,-5,-0.2,-5.2
6,Tyje Kelton,31,12,636,13.5,0.489,0.48,0.682,0.117,174,7.3,15.4,11.1,5.5,2,2.2,6.9,17.2,,0.7,1.3,2,0.126,,-1.2,-0.8,-2
7,Seck Zongo,28,0,441,12.2,0.539,0.5,0.13,0.696,100,5.6,20.1,12.5,7.5,2.3,1.4,15.6,13.3,,0.4,1,1.4,0.127,,-5.4,1.1,-4.3
8,Zaire Williams,9,9,-221,12.8,0.493,0.458,0.704,0.423,75,1,9.2,4.9,11.1,3.5,0,10.5,23.2,,0.2,0.4,0.6,0.109,,-1,1.4,0.4
9,Di'Andre Howell-South,11,8,192,9.9,0.419,0.375,0.292,0.25,46,2.8,10,6.2,13.2,1.7,1.3,0,15,,0.2,0.3,0.5,0.108,,-6,0.3,-5.7
10,Rob Taylor II,8,0,-128,14.3,0.475,0.444,0.028,0.417,40,10.9,15.9,13.3,3.6,2.5,3,12.2,20.6,,0.1,0.3,0.4,0.113,,-6,-0.7,-6.7
11,Rahmir Moore,3,0,90,7.9,0.451,0.38,0.2,0.32,25,1.2,10.6,5.7,14.4,2.1,1.4,21.7,22,,-0.1,0.2,0.1,0.031,,-5,-0.3,-5.3
12,Damien Mazil,2,0,2,52.2,1,1,0,0,1,0,0,0,0,0,0,0,26.9,,0,0,0,0.328,,10.2,3.2,13.4
