Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Isaac Jones,33,32,1048,23.7,0.615,0.584,0.043,0.54,483,8.4,18.7,13.6,9.4,1,3.3,13.1,23.2,,3.2,1.8,5.1,0.194,,5,2.5,7.4
2,Jaylen Wells,32,18,915,18.5,0.583,0.541,0.526,0.316,361,5.2,13,9.2,7.6,1,0.7,5.4,19.9,,2.9,1.3,4.2,0.183,,5.6,1.6,7.2
3,Myles Rice,33,33,1085,17.5,0.528,0.482,0.304,0.304,499,1.5,9.7,5.7,23.1,2.9,0.6,15.6,26.4,,1.9,1.8,3.7,0.136,,1.3,2.4,3.8
4,Andrej Jakimovski,33,33,1101,11.6,0.488,0.472,0.625,0.208,316,4,15.1,9.6,7.1,1.1,1.1,9.2,17.3,,1.2,1.7,2.9,0.104,,1.5,1.4,2.9
5,Oscar Cluff,33,21,683,17.9,0.563,0.547,0.005,0.246,253,11.4,13.9,12.7,10.5,1.4,4.4,16.4,19.2,,1.3,1.2,2.5,0.144,,1.1,2.7,3.8
6,Rueben Chinyelu,33,12,465,20.4,0.604,0.622,0,0.405,163,15.8,25.6,20.8,1.6,0.9,9.4,20.4,18.4,,0.7,1.1,1.8,0.157,,-0.5,3.2,2.7
7,Kymany Houinsou,33,10,675,12.2,0.487,0.46,0.128,0.4,177,4.7,14.4,9.6,17.8,1.2,3.7,20.3,14.2,,0.5,1.1,1.6,0.096,,0.8,3.1,3.9
8,Isaiah Watts,29,0,283,14.1,0.583,0.583,0.75,0.131,90,0.4,10.1,5.3,9,2.5,1.8,9.2,17.8,,0.5,0.5,1,0.147,,0.9,3.8,4.7
9,Jabe Mullins,24,0,221,7.2,0.375,0.363,0.667,0.039,40,1.1,8.8,5,8.1,3,1.4,5.5,12.8,,0,0.4,0.4,0.07,,-2.7,4,1.3
10,Joseph Yesufu,6,6,-152,8.2,0.475,0.474,0.605,0.053,37,1.6,7.5,4.6,12.3,2.4,0,13.3,15.2,,0.1,0.2,0.3,0.083,,-3,1.6,-1.5
11,AJ Rohosy,10,0,12,27.3,0.667,0.667,0,0,5,0,38.1,19.4,48.7,0,0,0,12.8,,0.1,0,0.1,0.288,,4.9,6.9,11.8
12,Dylan Darling,3,0,9,-7.7,,,,,1,13.1,0,6.5,0,0,0,100,5.7,,0,0,0,-0.041,,-11.4,-2,-13.4
13,Ben Olesen,1,0,1,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.028,,-3.5,1.3,-2.1
