Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Joel Bolomboy,33,33,1041,29.1,0.634,0.602,0.163,0.677,552,13.1,31.3,23,7.4,1.3,3.6,14.9,26.1,,3.8,2.7,6.5,0.248,,1.5,2.1,3.5
2,Jeremy Senglin,35,35,1220,19.6,0.615,0.609,0.561,0.352,568,1.2,9.6,5.8,17.1,1.1,0.2,13.2,24.9,,3.4,1.9,5.2,0.171,,3.6,-1,2.6
3,Kyndahl Hill,35,3,814,20,0.657,0.619,0.058,0.558,290,9.7,18.4,14.4,7,1.1,4.1,15.5,16.5,,2.2,1.7,3.9,0.193,,0.2,3.1,3.3
4,McKay Cannon,35,33,750,11.3,0.544,0.516,0.718,0.288,226,1.8,8.1,5.2,22.9,2.5,0.1,23.1,15.9,,0.8,1.3,2.2,0.115,,-0.4,0.5,0.1
5,Zach Braxton,34,34,697,13.8,0.593,0.614,0,0.759,227,7.9,14.5,11.5,4.8,0.8,2.4,20.7,18.4,,0.8,1.3,2.1,0.119,,-3.2,1.2,-2
6,Dusty Baker,34,11,621,11.9,0.535,0.468,0.44,0.447,204,3.2,11.6,7.8,18.1,1.5,0.6,22.7,18.4,,0.6,1.1,1.6,0.106,,-2.2,0.8,-1.4
7,Ryan Richardson,29,26,574,11.6,0.556,0.531,0.821,0.16,181,0.9,8.7,5.1,11.8,1.9,0.5,16.3,18.8,,0.6,1,1.6,0.108,,-0.1,-0.2,-0.3
8,Richaud Gittens,35,0,622,9.7,0.494,0.478,0.64,0.209,158,1.2,11.6,6.9,13,2.2,0.3,16.1,15.5,,0.3,1.2,1.4,0.092,,-2.2,1.2,-1
9,Cody John,30,0,509,7.6,0.433,0.402,0.436,0.323,143,0.7,9.4,5.4,16.6,1,0.9,17,18.6,,-0.1,0.8,0.7,0.056,,-4.8,-0.3,-5.1
10,Juwan Williams,20,0,168,14.2,0.58,0.522,0.244,0.556,61,6,15.2,11,2.3,0.7,2.7,15,20.6,,0.3,0.3,0.6,0.138,,-3.7,-1,-4.7
11,Jeremiah Jefferson,7,0,56,20.1,0.714,0.714,0.643,0,21,0,7.6,4.1,28.8,1,1.6,12.5,14.8,,0.2,0.1,0.3,0.204,,2.9,-2.1,0.9
12,J.C. Kennedy,4,0,8,64.8,1.013,1,1,0.667,6,0,0,0,32.1,7.3,11.5,0,25.6,,0.1,0,0.1,0.642,,25.5,1.9,27.4
13,Kiko Stavrev,4,0,20,2.8,0.25,0.25,0.5,0,4,6.3,5.3,5.8,25.4,0,0,20,13,,0,0,0,0.022,,-5.8,-2.1,-7.9
