Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jevon Carter,34,34,1176,24.4,0.549,0.495,0.4,0.319,623,2.6,13.2,7.6,36.2,4.7,1.4,15.1,25,,3.8,2.5,6.3,0.216,,8,4.5,12.5
2,Daxter Miles,33,30,946,19.2,0.565,0.53,0.488,0.338,427,4.8,6.5,5.6,20.9,2.5,0,11.4,21.5,,2.9,1.3,4.2,0.177,,7.1,0.8,7.9
3,Sagaba Konate,33,33,843,23.9,0.552,0.507,0,0.331,334,9.8,23.8,16.4,4.5,0.9,15.8,10.6,20.2,,1.9,2,4,0.188,,0.3,9.4,9.6
4,James Bolden,34,3,591,20.4,0.593,0.575,0.674,0.13,261,4.3,8.4,6.2,11.8,3.2,1.7,10.3,22.6,,1.7,1,2.7,0.186,,7.4,1.5,8.9
5,Lamont West,33,20,763,14.8,0.553,0.518,0.588,0.28,281,6.1,12.8,9.2,5,1,0.8,11,19.7,,1.5,1,2.6,0.135,,3.8,-0.1,3.6
6,Wesley Harris,34,34,709,10.2,0.508,0.456,0.525,0.399,185,6.2,13.9,9.9,3,1.8,2.2,15.7,14.9,,0.6,1.1,1.7,0.098,,0.9,2.3,3.3
7,Esa Ahmad,18,13,490,15.7,0.519,0.476,0.208,0.444,181,6.9,15.4,10.9,11.3,1.7,1.5,14.3,19.7,,0.8,0.8,1.6,0.128,,1.9,2.6,4.5
8,Teddy Allen,32,0,369,19.6,0.51,0.466,0.137,0.371,199,11.4,14.7,12.9,10.3,1.8,0,12.3,30.1,,0.8,0.6,1.3,0.146,,1.6,-0.7,0.9
9,Chase Harler,30,2,331,7.1,0.433,0.407,0.661,0.119,61,2.2,5.3,3.7,11.4,2.2,1.1,11.4,10.1,,0.2,0.4,0.7,0.081,,0.9,2,2.8
10,Maciej Bender,33,1,296,8.4,0.443,0.447,0.079,0.395,53,11.4,13.5,12.4,3.2,1.7,3.7,23.7,9.5,,0.1,0.5,0.6,0.075,,-0.9,4.2,3.3
11,Logan Routt,27,0,216,11.2,0.554,0.571,0,0.429,46,17.5,10.9,14.4,6.6,0,5.7,28.3,7.7,,0.3,0.3,0.6,0.105,,1.9,4.5,6.4
12,D'Angelo Hunter,18,0,95,8.8,0.405,0.357,0.607,0.214,26,6.6,12.4,9.3,5.1,1.2,3.9,6.1,16.4,,0.1,0.1,0.2,0.093,,-0.1,1.6,1.5
