Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Don McHenry,33,33,909,18.2,0.559,0.522,0.305,0.227,471,2.1,10,6.2,16.6,1.9,0.2,12.3,26.1,,1.9,1.5,3.4,0.149,,1.7,-0.2,1.5
2,Babacar Faye,33,25,617,20.3,0.635,0.607,0.02,0.647,262,12.6,18.5,15.7,7.2,1.5,2.8,14.4,17.2,,1.7,1.2,3,0.192,,1,0.6,1.6
3,Tyrone Marshall,33,32,807,16.8,0.561,0.54,0.317,0.194,284,3.8,14.9,9.6,14.5,3.3,4.5,17.3,17.2,,1,1.9,2.9,0.142,,0.5,3.3,3.8
4,Brandon Newman,33,33,863,14.8,0.539,0.507,0.548,0.292,328,2.5,18.4,10.8,10.3,2.7,1.1,15.1,20.2,,0.9,1.9,2.8,0.128,,-0.4,1.5,1.1
5,Rodney Howard,32,8,653,18.7,0.571,0.55,0,0.331,313,10.6,13.7,12.2,7.5,0.9,2.6,13.6,23,,1.3,1.1,2.5,0.151,,0.8,-0.2,0.6
6,Dontaie Allen,32,13,567.667,12.3,0.55,0.528,0.63,0.241,234,2,12.8,7.6,5,1.6,1.8,13,19.2,,0.7,1.2,1.9,0.112,,0.2,0.3,0.5
7,Enoch Kalambay,33,8,604,13.9,0.543,0.51,0.118,0.477,216,6.7,19.3,13.3,10.9,1.2,1.2,17.9,17.6,,0.7,1.2,1.8,0.12,,-0.8,0.7,-0.1
8,Khristian Lander,25,10,580,12.1,0.531,0.5,0.495,0.25,225,2.3,9.3,6,14.7,2.4,0.4,17,20.7,,0.5,1,1.5,0.105,,-2.7,0.4,-2.3
9,Teagan Moore,27,1,372,15.7,0.592,0.526,0.333,0.561,159,3.8,12.9,8.6,7.4,1.6,0.9,14.8,21.1,,0.7,0.6,1.4,0.145,,-1,-0.3,-1.3
10,Jack Edelen,26,0,223,5,0.38,0.271,0.458,0.667,40,1.5,5.4,3.5,19.1,2.8,0,30.7,9.5,,-0.1,0.4,0.3,0.054,,-5.8,2.5,-3.3
11,Jalen Jackson,10,2,-211,7.8,0.427,0.41,0.051,0.615,54,2.6,6.7,4.7,18,3.5,1.5,22.9,14.4,,-0.1,0.4,0.3,0.065,,-6.1,3.2,-2.9
12,Fallou Diagne,5,0,25,-3,0.435,0.2,0.4,0.8,5,0,0,0,0,0,8.6,36.7,20.2,,-0.1,0,0,-0.068,,-12.2,-2.4,-14.7
13,Jaylen Dorsey,7,0,14,22.3,0.637,0.6,0.2,1.2,10,23.5,14.3,18.7,0,3.8,0,33.8,39.2,,0,0,0,0.092,,5.1,-1.7,3.4
14,Tyler Olden,7,0,13,7.7,0.375,0.375,0.75,0,5,0,7.7,4,0,4.1,0,0,28.5,,0,0,0,0.045,,5.2,-0.4,4.8
15,BJ Marable,9,0,48,-3.4,0.286,0.286,0,1.571,9,6.9,14.6,10.9,3,2.2,2.2,36.4,18.6,,-0.2,0.1,-0.1,-0.077,,-14.6,-2.4,-17
