Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Shayne Whittington,31,31,987,25.5,0.581,0.535,0.092,0.426,471,9.8,22.6,16.8,8.8,1.5,5.5,11.9,25.9,,2.9,2,4.9,0.198,,0.9,2.3,3.3
2,David Brown,33,33,1123,20.2,0.573,0.505,0.577,0.603,576,2.2,9.7,6.3,12.8,2.5,0.5,14.3,30,,2.9,1.7,4.5,0.161,,3.5,-1.6,1.9
3,Connar Tava,33,33,978,19.2,0.613,0.587,0.042,0.733,415,7.9,14.6,11.5,22.3,2.4,2,25.3,22.9,,1.6,1.7,3.3,0.137,,1,2.5,3.5
4,Austin Richie,33,33,1098,10.7,0.595,0.545,0.619,0.631,264,0.8,6.8,4.1,13.6,1.6,0.4,16.5,12.5,,1.6,1.3,2.9,0.106,,1.3,-0.1,1.2
5,Tucker Haymond,29,24,694,11.2,0.524,0.491,0.357,0.369,206,6.4,12,9.5,7.9,1.3,0.5,17.9,18.2,,0.5,0.9,1.4,0.083,,-1.4,-0.5,-1.9
6,Kellen McCormick,31,2,263,12.2,0.57,0.554,0.784,0.068,76,4,9.3,6.9,4.9,0.5,2.6,8.4,16.6,,0.5,0.3,0.8,0.117,,0.9,-2,-1
7,Jared Klein,33,0,384,9.6,0.616,0.574,0.457,0.259,100,0.3,10.4,5.8,8.6,0.9,0,23.5,16.3,,0.3,0.4,0.7,0.073,,-2.3,-1.8,-4
8,Taylor Perry,33,9,557,5.4,0.361,0.307,0.295,0.545,72,5.9,16.2,11.5,13.2,1.7,1.2,36.6,8.2,,-0.3,0.9,0.6,0.046,,-3.8,2.8,-1
9,A.J. Avery,32,0,313,7.8,0.445,0.396,0,0.396,66,10.9,11.7,11.3,3.7,1,6.7,21.3,13.4,,0,0.5,0.5,0.062,,-4.8,2.9,-1.9
10,Charles Harris,12,0,54,27.3,0.649,0.684,0.263,0.368,28,12.2,16.5,14.5,25.8,1.1,2.1,15.2,25.6,,0.2,0.1,0.3,0.209,,5.9,-0.2,5.7
11,Hayden Hoerdemann,11,0,44,23.2,0.508,0.393,0.5,0.857,22,8.9,0,4.1,24.3,4.1,0,4.8,24.7,,0.2,0.1,0.2,0.205,,5.6,-2.5,3.2
12,Mario Matasovic,24,0,133,2.5,0.445,0.389,0.111,0.389,23,8.9,7.5,8.1,4.3,1.4,3.5,36,13.1,,-0.1,0.2,0,0.008,,-6,1.6,-4.4
13,Von Washington,18,0,59,5.6,0.423,0.405,0.714,0.381,18,2.2,9.4,6.1,0,2,0,13.9,25.6,,-0.1,0.1,0,0.006,,-6.2,-6,-12.2
14,Tim Brennan,9,0,14,-8.9,0.333,0.333,0.667,0,2,0,15.9,8.6,0,4.3,0,50,22.5,,-0.1,0,-0.1,-0.164,,-15.9,-0.6,-16.4
