Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Ron Baker,35,35,1106,21.9,0.557,0.509,0.485,0.358,468,1.9,16.1,8.7,21.7,2.9,2.5,10.9,23.1,,2.9,3.1,5.9,0.215,,5.6,5.5,11.1
2,Fred VanVleet,31,31,900,22.2,0.523,0.461,0.37,0.393,416,1.3,11.8,6.4,39.6,3.7,0.4,13,23.9,,2.5,2.4,4.9,0.218,,5.7,4,9.7
3,Zach Brown,35,31,668,16.6,0.583,0.538,0.538,0.582,227,6.3,11.3,8.7,9.4,2.4,2.5,15.1,18.4,,1.3,1.7,3,0.18,,3.4,4.6,8.1
4,Shaquille Morris,34,29,523,21.6,0.586,0.566,0,0.386,206,8.8,18.1,13.3,5.7,1.3,8.7,11.3,21.8,,1.2,1.5,2.7,0.21,,0.5,6.7,7.3
5,Markis McDuffie,34,1,630,17,0.524,0.483,0.358,0.377,235,6.3,14.2,10.1,8.3,2.6,1.5,12.1,22.4,,1,1.6,2.6,0.166,,1.5,3.7,5.2
6,Conner Frankamp,28,0,479,15,0.54,0.507,0.68,0.177,152,0.7,9.5,4.9,11.8,1.1,1.4,3,17.7,,1.1,1,2.1,0.175,,3.6,1.7,5.3
7,Anton Grady,31,5,537,17.6,0.539,0.514,0.051,0.539,218,8.2,22.7,15.2,4.6,1.5,4.9,16.4,25.7,,0.5,1.5,2.1,0.156,,-2.5,4.1,1.7
8,Evan Wessel,35,35,742,7.8,0.429,0.425,0.784,0.112,138,7.3,9.3,8.3,5.8,1.4,0.4,8.4,10.7,,0.5,1.6,2.1,0.113,,1.2,3.6,4.8
9,Rashard Kelly,35,6,564,12.8,0.482,0.452,0.151,0.389,158,9.4,16.8,12.9,8.9,1.8,1.4,14.3,15.9,,0.6,1.4,2,0.142,,-0.4,4.6,4.2
10,Eric Hamilton,21,0,136,22.1,0.6,0.568,0.25,0.727,62,8.1,22,14.8,3.3,0.4,3.8,13.2,25.9,,0.4,0.3,0.7,0.206,,0.4,0.9,1.2
11,Bush Wamukota,28,1,192,9.1,0.503,0.448,0.034,0.276,38,9.8,16.8,13.1,2.9,1.9,0.7,15.5,10.4,,0.2,0.5,0.7,0.141,,-1.6,3.9,2.3
12,Rauno Nurger,28,0,214,7,0.473,0.434,0.316,0.474,44,6.2,12.3,9.1,1.7,0.6,4.3,14.7,13.2,,0.1,0.5,0.6,0.105,,-2.9,3.7,0.8
13,John Robert Simon,25,0,116,13.1,0.557,0.522,0.652,0.522,38,2.8,5.2,4,28.9,1.6,0,19.6,15.9,,0.2,0.2,0.5,0.158,,2.1,0,2.1
14,Landry Shamet,3,1,53,27.8,0.599,0.531,0.625,0.75,26,6.2,11.3,8.7,19.5,5.7,2.5,8.4,23.1,,0.2,0.2,0.4,0.298,,9.2,6.3,15.5
15,Ty Taylor II,20,0,153,8.1,0.389,0.361,0.444,0.111,57,3.6,9.4,6.4,15.1,2.8,0,11.7,28.9,,-0.1,0.4,0.2,0.062,,-2.6,1.1,-1.4
16,Zach Bush,17,0,37,9.3,0.316,0.167,0.5,0.667,7,3,9.7,6.2,18.4,3.3,0,0,11,,0,0.1,0.1,0.129,,-0.7,3.9,3.2
