Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Keon Johnson,32,30,1124,22.8,0.591,0.532,0.499,0.386,655,1.4,10.7,6.3,15.9,1.1,0,10.9,29.8,,4,1.6,5.5,0.197,,4.5,-3,1.4
2,Xavier Cooks,33,31,956,25.9,0.567,0.535,0.271,0.403,543,6.4,27.6,17.4,21.2,1.7,6.1,16.6,29.7,,2.3,2.4,4.8,0.199,,1.1,4.2,5.3
3,Anders Broman,33,7,734,14,0.612,0.59,0.735,0.175,238,0.6,6,3.4,10.5,1.9,0.6,12.2,16.5,,1.4,1.1,2.5,0.135,,1.9,-1.5,0.4
4,Roderick Perkins,33,27,651,15.7,0.566,0.559,0.668,0.223,240,4.4,9.5,7.1,9.9,2,1.1,12.5,19.4,,1.2,1.1,2.2,0.136,,1.7,-0.9,0.8
5,Josh Davenport,33,4,645,14.7,0.519,0.437,0.075,0.664,213,5.7,19,12.7,15.5,2.3,1.6,20.7,17,,0.7,1.4,2.1,0.128,,-2.5,2.3,-0.2
6,Tevin Prescott,33,10,622,13.9,0.588,0.575,0.008,0.358,165,7.4,10.5,9,2.9,2.2,2.7,11.9,12.7,,1,1.1,2.1,0.137,,-1.2,1.5,0.3
7,Bjorn Broman,33,29,913,8.2,0.524,0.503,0.827,0.173,194,1,5.5,3.3,13.2,1.6,0.7,17.2,11,,0.7,1.2,2,0.086,,-0.4,-0.4,-0.8
8,Josh Ferguson,32,1,276,15.2,0.543,0.483,0.339,0.458,85,9.6,17.8,13.9,4.5,2,6.4,20.9,16.3,,0.3,0.6,0.9,0.128,,-2.9,2.8,-0.1
9,Duby Okeke,33,24,461,11.2,0.522,0.608,0,0.757,118,12.8,17.8,15.4,1.2,0.5,10.7,27.7,15.1,,-0.1,1,0.9,0.082,,-6,3.7,-2.3
10,Adam Pickett,31,1,256,16.8,0.576,0.522,0.294,0.529,98,3.6,15,9.5,13.2,5,2.5,23.4,21.4,,0.2,0.7,0.9,0.14,,-1.8,3.3,1.4
11,Kellen Blake,12,0,25,24.6,0.502,0.5,0.273,0.182,15,18.5,8.5,13.3,34.8,0,0,7.7,25.6,,0.1,0,0.1,0.208,,5.9,-2.9,3
12,Mitch Hill,13,0,26,18.5,0.588,0.7,0.6,0.4,7,13.3,16.4,15,0,2.2,0,0,11.3,,0.1,0,0.1,0.168,,0.7,-4.3,-3.6
13,Patrick Fisher,2,0,9,13.8,1,1,0,0,2,0,0,0,0,0,0,33.3,16.5,,0,0,0,0.076,,-1.3,-4.3,-5.6
14,Freddy Poole,11,0,27,3.3,0.425,0.375,0.5,0.167,10,8.6,4,6.2,0,2.1,0,18.8,29.2,,0,0,0,-0.007,,-8,-6.6,-14.5
15,Hunter Sadlon,13,1,25,3,0.169,0,0.5,1,2,4.6,17.1,11.1,6.1,0,0,0,5.8,,0,0,0,0.044,,-5.6,-0.6,-6.2
