Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Ethan Happ,33,33,1055,28.8,0.525,0.531,0.011,0.331,622,8.5,27.2,18.2,36.6,2.2,4.6,15.3,33.8,,2.5,3.1,5.6,0.212,,5,9.3,14.3
2,Brad Davison,33,33,1063,14,0.53,0.485,0.488,0.309,335,1.1,10.2,5.9,10.9,2,0.2,9.2,19,,1.6,2.1,3.7,0.138,,2.9,3,5.9
3,D'Mitrik Trice,33,33,1076,14,0.526,0.5,0.554,0.204,369,0.6,8.8,4.9,15.4,1.6,0.1,10.5,20.9,,1.6,1.9,3.5,0.13,,3.3,2,5.3
4,Khalil Iverson,32,32,778,15.9,0.56,0.538,0.032,0.487,223,7.1,14.1,10.7,7.1,2.3,1.8,15,16,,1.1,1.8,2.9,0.149,,1,5.3,6.2
5,Nate Reuvers,33,33,762,17.5,0.534,0.522,0.357,0.174,252,6,13.1,9.7,8.6,0.8,8.6,11.3,19.7,,1.1,1.7,2.9,0.15,,1.4,6.8,8.2
6,Brevin Pritzl,33,0,652,13.3,0.663,0.629,0.714,0.343,147,2.6,11.5,7.2,4.7,0.9,0.5,7.6,11.1,,1.4,1.2,2.6,0.157,,3.7,2.6,6.3
7,Kobe King,33,1,627,10.1,0.539,0.517,0.395,0.227,136,3.4,9,6.3,4.6,0.8,0.5,10.2,12.9,,0.6,1,1.7,0.107,,0.6,2.4,3
8,Aleem Ford,30,0,411,7.2,0.466,0.455,0.78,0.04,90,2.9,12.7,8,4.8,1.2,0.8,12.8,15.6,,0,0.8,0.8,0.078,,-0.3,2.2,1.8
9,Charles Thomas IV,27,0,145,16,0.486,0.463,0.25,0.275,50,14.1,13.7,13.9,6.7,1.3,7.5,16.6,20.6,,0.1,0.3,0.5,0.134,,-0.6,5.7,5.1
11,Tai Strickland,16,0,50,20.1,0.522,0.478,0.348,0.348,28,2.4,8.9,5.8,30.8,2.5,0,15.7,35,,0.1,0.1,0.2,0.152,,3.3,0.5,3.8
12,Michael Ballard,9,0,16,0.2,0.202,0,0.75,0.5,3,15,6.9,10.8,0,0,0,0,17,,0,0,0,0.001,,-4.4,-3.7,-8.1
13,Walt McGrory,12,0,31,-2,0.375,0.375,0.75,0,3,0,7.1,3.7,5.4,0,0,33.3,10.6,,-0.1,0,0,-0.013,,-5.3,1.5,-3.8
