Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,John Tonje,G,35,35,1085,24.1,0.64,0.495,0.55,604.0,3.0,16.0,9.8,11.7,1.4,0.6,11.2,28.0,4.2,1.6,5.8,0.214,8.1,2.4,10.5,
2.0,John Blackwell,G,35,35,1083,17.1,0.557,0.401,0.314,512.0,4.0,14.3,9.4,14.2,1.6,0.2,13.3,26.7,2.0,1.6,3.6,0.132,2.6,1.9,4.4,
3.0,Steven Crowl,F,35,35,890,18.4,0.62,0.286,0.27,356.0,6.9,16.7,12.0,18.8,1.2,2.0,15.8,18.6,2.3,1.4,3.6,0.164,4.7,3.5,8.2,
4.0,Max Klesmit,G,31,31,861,12.0,0.498,0.682,0.306,298.0,1.0,8.3,4.8,17.2,1.8,0.3,10.4,19.4,1.1,1.1,2.2,0.101,1.3,2.3,3.6,
5.0,Kamari McGee,G,35,4,774,14.7,0.607,0.469,0.234,240.0,2.9,10.2,6.8,15.5,2.3,0.3,9.7,14.3,1.8,1.1,2.9,0.149,2.5,4.3,6.9,
6.0,Nolan Winter,F,35,35,741,23.1,0.665,0.425,0.35,321.0,10.0,21.1,15.8,9.9,1.1,1.9,9.4,19.1,2.7,1.3,4.0,0.214,7.3,2.8,10.0,
7.0,Carter Gilmore,F,35,0,663,10.6,0.593,0.559,0.245,153.0,4.7,10.2,7.6,12.0,0.8,2.6,13.0,10.1,1.1,0.8,1.9,0.116,1.9,3.7,5.6,
8.0,Jack Janicki,G,35,0,408,9.5,0.484,0.681,0.101,81.0,2.9,10.4,6.8,12.3,2.1,2.4,10.0,10.1,0.4,0.6,1.0,0.097,0.2,4.6,4.8,
9.0,Xavier Amos,F,35,0,337,11.5,0.485,0.559,0.243,116.0,4.6,15.8,10.5,8.8,1.4,3.2,13.9,21.9,0.1,0.5,0.7,0.078,-0.4,2.2,1.9,
10.0,Markus Ilver,F,19,0,68,12.1,0.518,0.75,0.143,26.0,3.5,12.8,8.4,2.8,1.7,3.2,11.8,25.6,0.0,0.1,0.1,0.087,-0.7,1.6,1.0,
11.0,Daniel Freitag,G,14,0,29,-10.9,0.08,0.545,0.273,5.0,8.3,7.5,7.9,16.4,2.0,0.0,7.4,23.8,-0.2,0.0,-0.1,-0.164,-19.5,-2.0,-21.5,
12.0,Camren Hunter,G,10,0,22,-4.6,0.188,0.5,0.0,5.0,10.9,14.8,12.9,7.3,0.0,0.0,11.1,21.0,-0.1,0.0,0.0,-0.08,-10.5,-2.4,-12.9,
13.0,Riccardo Greppi,F,8,0,20,26.6,0.684,0.333,2.0,10.0,24.0,27.1,25.6,8.9,0.0,5.4,14.6,17.6,0.1,0.0,0.1,0.272,4.5,2.7,7.2,
14.0,Jack Robison,F,13,0,16,22.2,0.75,0.5,0.0,6.0,15.0,13.6,14.2,11.6,0.0,0.0,0.0,12.8,0.1,0.0,0.1,0.238,10.2,1.3,11.5,
15.0,Chris Hodges,F,14,0,15,-10.7,0.102,0.333,1.333,1.0,0.0,0.0,0.0,0.0,3.9,0.0,16.9,20.2,-0.1,0.0,-0.1,-0.196,-14.1,-1.8,-15.9,
16.0,Isaac Gard,G,12,0,12,17.0,1.5,1.0,0.0,2.0,0.0,18.1,9.5,14.3,0.0,0.0,0.0,4.3,0.0,0.0,0.1,0.191,4.6,5.1,9.6,
17.0,Aidan Konop,G,4,0,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.021,-3.9,0.4,-3.5,
,Team Totals,,35,35,7027,,0.582,0.481,0.338,,,,,,,,,,15.5,10.3,25.8,0.147,3.5,2.9,6.4,
