Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Karl Cochran,33,22,1011,22.4,0.515,0.499,0.439,0.172,483,2.4,18.4,10.1,23.6,3.5,2.1,11.3,30.5,,1.9,2.3,4.2,0.166,,2.2,1.9,4.1
2,Lee Skinner,33,33,1048,18.9,0.526,0.484,0.053,0.486,391,10.9,22.7,16.6,13.3,1.8,0.7,16,21.4,,1.7,2.1,3.8,0.146,,-1.3,1.5,0.1
3,Spencer Collins,33,33,994,15.8,0.533,0.477,0.284,0.42,375,2.8,10.2,6.3,9.2,1.3,0.8,10.4,23.7,,1.8,1.5,3.3,0.131,,-1.2,-1.6,-2.8
4,Eric Garcia,31,26,825,13.5,0.581,0.559,0.556,0.308,226,1.2,7.4,4.1,18.1,1.5,0,13,14.7,,1.5,1.2,2.7,0.131,,0.3,-1.5,-1.2
5,C.J. Neumann,33,13,652,12.3,0.578,0.585,0.027,0.268,146,8.6,11.3,9.9,3.9,1.2,1,11.9,12,,1,1,2,0.121,,-2.1,0.1,-2
6,Jaylen Allen,33,6,440,15.2,0.553,0.536,0.521,0.221,149,2.7,12.1,7.2,8.7,3.9,0.3,15.3,22.6,,0.5,0.9,1.4,0.125,,-0.9,-0.1,-1.1
7,Justin Gordon,33,9,594,12.9,0.504,0.51,0.013,0.379,192,12,10.5,11.3,8.8,1.9,1,18.1,20.2,,0.4,1,1.4,0.095,,-3.2,0.1,-3.1
8,John Swinton,31,5,353,10.5,0.574,0.526,0.447,0.5,65,2.7,9.9,6.2,15.6,2.2,1,19,8.9,,0.4,0.6,1,0.118,,-2.2,0.8,-1.4
9,Aerris Smith,31,11,274,8.9,0.528,0.514,0,0.457,48,8.3,17.5,12.7,1.3,0.7,0.4,14.1,9.8,,0.2,0.4,0.7,0.099,,-5.2,-1.4,-6.6
10,Indiana Faithfull,20,7,256,5.3,0.367,0.28,0.366,0.415,53,0.9,13.1,6.8,26.2,1.7,1.3,30,14.9,,-0.2,0.4,0.2,0.032,,-7.4,0,-7.4
11,Zac Grossenbacher,17,0,94,11.2,0.535,0.536,0.75,0.143,27,3.8,12.4,7.9,4.3,0.7,2.4,11.8,19.6,,0.1,0.1,0.2,0.103,,-2,-2.5,-4.6
12,Zach Korkowski,10,0,30,12.6,0.764,0.6,0.4,1.2,11,7.9,12.9,10.3,0,2.1,0,38.9,23.3,,0,0.1,0.1,0.097,,-5.5,-4.3,-9.8
13,Jeremiah Tate,10,0,28,-6.4,0.146,0.25,0,1.5,4,8.5,4.6,6.6,18.7,0,4.1,30.5,19.1,,-0.1,0,-0.1,-0.133,,-13.9,-0.1,-14
14,Eric Wagenlander,10,0,27,-7.2,0.188,0.188,0.75,0,4,0,0,0,19.4,0,0,20,20.1,,-0.1,0,-0.1,-0.116,,-12.7,-8.4,-21.1
