Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Dillon Bailey,G,34,34,965,14.2,0.579,0.687,0.406,350.0,3.0,7.4,5.1,9.4,1.6,0.1,12.6,20.1,2.1,0.8,2.9,0.121,0.2,-1.5,-1.3,
2.0,Corey Tripp,G,33,33,934,19.5,0.554,0.445,0.25,454.0,3.4,13.2,8.2,22.9,2.0,1.5,14.3,27.2,2.3,1.1,3.4,0.145,3.6,-0.8,2.8,
3.0,Kyler Filewich,C,34,34,922,25.2,0.536,0.016,0.418,447.0,15.3,25.0,20.1,24.3,1.7,2.8,12.3,24.0,2.6,1.4,4.0,0.175,4.3,-0.4,3.9,
4.0,Justin Bailey,G,33,33,899,17.3,0.657,0.61,0.425,293.0,3.3,12.0,7.6,11.4,2.8,0.2,10.8,15.3,2.6,1.1,3.7,0.166,0.8,0.6,1.4,
5.0,Jeremy Lorenz,F,34,12,748,16.8,0.572,0.333,0.314,268.0,6.4,13.8,10.0,14.4,1.9,4.4,16.1,19.1,1.4,1.0,2.4,0.129,-0.6,0.1,-0.5,
6.0,Jackson Sivills,G,32,23,693,16.6,0.576,0.721,0.15,265.0,5.3,15.0,10.1,10.1,1.0,2.8,10.8,21.3,1.6,0.8,2.4,0.138,2.2,-1.1,1.1,
7.0,Luke Flynn,G,33,1,657,10.1,0.537,0.822,0.169,144.0,4.5,12.4,8.4,9.9,1.3,0.6,11.8,11.3,0.9,0.6,1.6,0.096,-0.9,-0.7,-1.6,
8.0,Anthony Arrington,G,29,0,453,9.6,0.425,0.652,0.091,132.0,9.1,7.8,8.5,11.6,2.2,0.6,12.1,17.7,0.3,0.5,0.8,0.07,-3.3,-2.0,-5.3,
9.0,Kahmare Holmes,G,27,0,389,12.9,0.513,0.473,0.366,111.0,5.3,11.3,8.2,9.2,2.4,1.8,10.6,16.1,0.5,0.5,1.0,0.104,-2.7,-0.5,-3.1,
10.0,Cannon Richards,F,14,0,89,11.6,0.409,0.056,0.611,21.0,11.6,22.6,17.0,1.9,2.1,6.1,11.4,15.1,0.0,0.2,0.2,0.077,-8.5,-1.3,-9.8,
11.0,Belal El Shakery,F,8,0,86,15.8,0.431,0.375,0.542,34.0,13.3,31.7,22.4,22.8,1.4,4.8,21.0,22.7,0.0,0.2,0.2,0.094,-4.6,2.0,-2.7,
12.0,Don Douglass,F,5,0,16,26.1,0.411,0.1,0.2,10.0,35.8,14.8,25.5,15.0,0.0,8.5,8.4,38.2,0.0,0.0,0.0,0.123,1.2,6.0,7.2,
,Team Totals,,34,34,6851,,0.555,0.48,0.307,,,,,,,,,,14.6,8.1,22.7,0.133,0.7,-0.6,0.1,
