Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Grant Benzinger,34,34,1183,16.3,0.565,0.517,0.62,0.275,451,4.5,13.4,8.9,7,1.2,0.6,7.8,20.1,,2.7,2.3,5,0.171,,2.3,0.2,2.5
2,Mark Hughes,34,32,1071,13.3,0.57,0.531,0.681,0.273,332,1,10.6,5.8,18,2.1,0.9,16,16.3,,1.6,2.2,3.8,0.141,,0.9,1.7,2.6
3,Loudon Love,34,34,946,21.1,0.537,0.531,0.003,0.416,430,12.5,28.1,20.3,9.1,1.6,4.3,16.5,25.8,,1.2,2.6,3.8,0.16,,-2.9,3.6,0.8
4,Cole Gentry,24,17,742,13.1,0.552,0.517,0.514,0.24,219,1.6,8.9,5.2,16.8,2.5,0,14.9,15.8,,1,1.5,2.5,0.134,,0.1,1.5,1.6
5,Parker Ernsthausen,34,34,771,10.1,0.52,0.472,0.222,0.41,197,4.8,8.4,6.6,13.5,1.3,1.7,18.9,13.7,,0.6,1.4,2.1,0.107,,-2.5,2.1,-0.3
6,Everett Winchester,32,1,678,13.2,0.525,0.46,0.032,0.61,255,7.1,13.5,10.3,10.7,1,1.6,18.3,21.7,,0.6,1.3,1.9,0.115,,-3.8,1.3,-2.5
7,Jaylon Hall,32,2,738,11,0.493,0.455,0.398,0.398,280,2.7,10.2,6.4,12.2,1.4,0.3,15.6,24.2,,0.3,1.4,1.6,0.089,,-3,-0.4,-3.5
8,Justin Mitchell,16,14,443,15.8,0.487,0.446,0.121,0.344,189,6,23.6,14.8,24,4,1.3,24.4,27.2,,-0.2,1.3,1.1,0.1,,-3.9,5.4,1.5
9,Tye Wilburn,19,1,176,16.1,0.526,0.448,0.172,0.655,47,5.2,19.1,12.2,16.4,5.8,0,22.4,13.9,,0.2,0.5,0.7,0.159,,-2,5.8,3.7
10,Adam Giles,6,1,15,14.7,0.526,,,,3,15.4,7.7,11.6,10.7,7.6,0,51.3,6.5,,0,0,0.1,0.145,,-0.5,7.8,7.4
11,Alan Vest,13,0,69,6.6,0.425,0.375,0.417,0.167,14,6.7,16.8,11.7,10.3,0.8,0,23.6,12.3,,0,0.1,0.1,0.069,,-5.3,0.9,-4.3
12,Trey Stacey,8,0,18,3.3,0.143,0.143,0.429,0,3,12.8,12.9,12.9,0,6.3,0,0,19.4,,-0.1,0.1,0,-0.011,,-10.2,-0.4,-10.6
