Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Hunter Maldonado,32,32,1191,23.3,0.566,0.518,0.193,0.536,660,3.5,14.5,9.3,37.7,1.9,0.4,17.9,28.5,,3.9,2.1,6,0.201,,3.7,2.3,6
2,Graham Ike,32,32,1013,25.3,0.557,0.513,0.024,0.475,609,10.9,24.4,18,10.6,1.3,1,15.5,35.3,,2.7,2,4.7,0.187,,2.7,0.6,3.3
3,Drake Jeffries,33,33,1208,14.9,0.66,0.64,0.937,0.209,302,1.9,14.6,8.6,3.9,1,1.6,7.1,12.6,,2.8,1.9,4.7,0.157,,4,2.2,6.2
4,Jeremiah Oden,33,32,884,14.9,0.604,0.584,0.44,0.267,246,6,14,10.2,3.1,0.8,3.2,13.6,15.1,,1.6,1.4,3,0.137,,2.2,1.9,4.1
5,Brendan Wenzel,33,13,738,10.1,0.594,0.56,0.802,0.302,167,4.2,10.4,7.5,4.2,0.9,0.3,14.3,12.2,,1.1,1,2.1,0.112,,1.3,1.8,3
6,Xavier DuSell,29,20,829,8.3,0.508,0.488,0.792,0.145,206,0.6,9,5,6.8,1,0.4,10.5,16,,0.7,1.1,1.8,0.087,,-1.3,1.6,0.2
7,Hunter Thompson,33,2,362,7.7,0.536,0.527,0.867,0.147,82,3.5,12.1,8,4.6,0.2,0.6,11.1,13.4,,0.4,0.5,0.9,0.096,,-2,0.9,-1.1
8,Noah Reynolds,23,0,259,7.5,0.479,0.458,0.407,0.39,67,0.5,10,5.5,12.2,1.2,1.8,18.6,17.8,,0,0.4,0.4,0.062,,-3.1,1.6,-1.5
9,Kenny Foster,9,0,95,10.1,0.402,0.333,0.722,0.222,20,4,17.8,11.2,11.1,2.5,0,9.1,12.4,,0.1,0.2,0.2,0.101,,-3,3,-0.1
10,Eoin Nelson,8,0,20,20.5,1,1,0,0,7,18.8,16.9,17.8,0,0,0,33.3,16.1,,0.1,0,0.1,0.183,,-1.4,1.2,-0.2
11,Deng Dut,12,1,89,2.9,0.183,0.125,0.65,0.2,15,1.4,10.1,6,24.4,2.7,0,15.4,15.6,,-0.2,0.2,0,-0.012,,-6.9,1.1,-5.8
12,John Grigsby,7,0,12,9.1,0.357,0.357,0.857,0,5,10.4,9.4,9.9,0,0,0,0,31.3,,0,0,0,0.02,,-14.2,-9.5,-23.8
