Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Trevon Bluiett,36,35,1262,19.7,0.575,0.532,0.506,0.411,586,2.4,16.5,9.5,12.3,1.5,0.4,11.9,26,,3.4,1.3,4.7,0.149,,5.5,1,6.5
2,J.P. Macura,38,37,1272,18.2,0.551,0.502,0.448,0.376,534,4.6,10.8,7.7,17.2,2.5,0.7,13.4,22.5,,3,1.4,4.4,0.138,,5.3,2.4,7.7
3,Edmond Sumner,22,19,697,21.2,0.57,0.507,0.209,0.645,327,1.8,13.6,7.7,30.2,2.3,2.7,17.4,24,,1.8,0.9,2.7,0.155,,4.3,3.6,7.9
4,Rashid Gaston,38,18,689,20.9,0.588,0.59,0,0.467,280,15.8,22.3,19,7,0.5,3.1,14.7,20.3,,1.7,0.8,2.5,0.148,,2.6,2.1,4.7
5,Malcolm Bernard,38,34,1065,10.6,0.544,0.532,0.582,0.303,255,5.2,11.8,8.5,9.6,2,1.3,19.6,13.4,,0.9,1.2,2.1,0.078,,2.5,3.6,6.2
6,Sean O'Mara,38,9,523,21.5,0.63,0.607,0,0.545,219,11.4,14.6,13,9.3,1.3,2.9,14.8,20.6,,1.5,0.6,2.1,0.161,,3.6,2.5,6.1
7,Kaiser Gates,33,5,692,12.3,0.533,0.509,0.724,0.221,184,6.3,16.3,11.3,5.8,1.3,0.8,10.9,14.6,,1,0.7,1.7,0.101,,3.1,1.6,4.7
8,Tyrique Jones,37,14,406,19.3,0.589,0.602,0,0.363,155,16.7,16.2,16.4,5.7,1.3,4.6,16.9,19.7,,0.8,0.5,1.4,0.133,,2.2,3,5.2
9,Quentin Goodin,38,19,916,7.5,0.415,0.383,0.255,0.365,241,0.8,9.1,4.9,25.2,2.2,0.9,24,16.9,,-0.3,0.9,0.7,0.029,,-2,2,0
10,Cullen Barr,9,0,8,-11.3,0,0,0.5,0,0,0,0,0,0,0,0,0,12.5,,0,0,0,-0.156,,-10,-1.6,-11.5
11,Alex Bergen,10,0,8,7.8,,,,,1,14.6,14.7,14.6,0,0,0,,0,,0,0,0,0.072,,-1,0.5,-0.5
12,Conor Peterson,9,0,8,4.3,,,,,0,0,29.3,14.6,0,0,0,,0,,0,0,0,0.043,,-5.7,1.2,-4.5
13,Leighton Schrand,9,0,8,2.2,0.517,0,0,4,3,0,0,0,0,0,0,25.6,24.4,,0,0,0,-0.004,,-7.1,-3.3,-10.4
14,Tim Stainbrook,13,0,37,2.5,0.3,0.3,1,0,4,0,9.5,4.7,8.8,0,3.2,0,6.8,,0,0,0,0.03,,-1.5,2,0.5
15,Myles Davis,4,0,34,-12.1,0.101,0,0.75,0.5,2,0,6.9,3.4,0,1.7,0,16.8,17.5,,-0.2,0,-0.1,-0.165,,-10.6,-1.1,-11.7
