Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Ryan Conwell,G,32,32,1053,18.5,0.621,0.62,0.337,475.0,1.0,9.1,5.2,15.5,2.3,0.5,11.1,23.9,2.7,1.5,4.1,0.157,5.0,1.8,6.8,
2.0,Dayvion McKnight,G,32,32,1041,13.0,0.522,0.22,0.419,348.0,1.1,8.2,4.8,23.6,2.5,0.7,14.5,17.1,1.4,1.5,2.9,0.112,0.4,2.6,3.0,
3.0,Dailyn Swain,F,32,31,909,18.4,0.6,0.097,0.496,344.0,4.2,18.6,11.7,17.3,3.0,2.4,16.2,18.9,1.8,1.8,3.5,0.156,2.4,4.0,6.4,
4.0,Zach Freemantle,F,29,27,902,23.4,0.594,0.247,0.306,463.0,7.3,20.2,14.0,15.3,1.9,2.9,11.0,27.2,2.4,1.6,4.0,0.178,5.6,2.2,7.8,
5.0,Marcus Foster,G,32,32,866,12.5,0.522,0.507,0.261,254.0,4.1,16.9,10.8,13.3,2.1,0.6,11.8,15.7,1.0,1.4,2.4,0.109,1.5,2.4,3.9,
6.0,Jerome Hunter,F,32,6,610,12.3,0.597,0.205,0.409,187.0,8.1,12.5,10.4,8.3,1.5,2.7,20.5,16.1,0.7,0.9,1.6,0.105,0.0,1.8,1.8,
7.0,Dante Maddox Jr.,G,32,0,605,16.1,0.589,0.64,0.402,221.0,2.1,13.2,7.9,14.8,2.6,1.1,10.9,18.7,1.2,1.0,2.2,0.146,3.1,2.6,5.7,
8.0,John Hugley IV,F,32,0,309,10.0,0.601,0.267,0.667,101.0,7.0,17.8,12.7,13.4,0.2,0.7,25.5,17.7,0.3,0.4,0.6,0.083,-2.2,0.4,-1.8,
9.0,Trey Green,G,9,0,98,13.9,0.58,0.686,0.229,42.0,2.6,7.2,5.0,17.8,1.8,0.0,17.1,24.7,0.1,0.1,0.3,0.103,0.7,-0.7,0.0,
10.0,Cam'Ron Fletcher,F,11,0,46,20.2,1.007,0.5,0.333,12.0,2.8,28.0,15.9,11.9,1.3,0.0,0.0,7.8,0.2,0.1,0.3,0.221,4.8,3.8,8.6,
11.0,Brad Colbert,G,3,0,7,16.9,0.5,0.667,0.0,4.0,18.2,0.0,8.7,55.5,0.0,0.0,25.0,29.5,0.0,0.0,0.0,0.113,5.1,-5.1,0.0,
12.0,Ian Sabourin,G,2,0,3,24.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,0.205,-2.1,3.4,1.4,
13.0,Bob Nunge,G,1,0,1,37.1,,,,1.0,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.393,28.1,9.1,37.2,
14.0,Henry Thole,F,1,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.023,-2.8,-0.2,-3.0,
15.0,Michael Wolf,G,1,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.023,-4.2,0.6,-3.7,
,Team Totals,,32,32,6452,,0.584,0.374,0.372,,,,,,,,,,11.8,10.2,22.0,0.136,2.5,2.3,4.8,
