Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Danny Wolf,30,29,921,23.1,0.547,0.523,0.217,0.257,423,8,29.1,18.8,14.5,2,5.7,15.1,26.4,,1.6,2.3,3.9,0.169,,2.5,2.1,4.6
2,Bez Mbeng,31,31,1001,17.1,0.511,0.474,0.427,0.355,375,1.7,13,7.4,22.9,3.5,1.3,13.6,20.8,,1.5,2,3.5,0.14,,0.1,2.8,3
3,John Poulakidas,31,31,954,16.4,0.579,0.559,0.591,0.173,362,2.2,6.9,4.6,11.4,0.8,1.5,7.2,20.8,,2.4,1.1,3.5,0.148,,2.8,-0.6,2.2
4,August Mahoney,31,31,842,15.9,0.674,0.65,0.706,0.229,274,1.4,9.6,5.6,8.9,1.3,0.3,10.6,16.6,,2.2,1.1,3.3,0.159,,2.3,0.5,2.7
5,Matt Knowling,26,24,731,20.7,0.581,0.571,0.03,0.284,299,4.7,16.1,10.5,18.1,0.9,1.5,8,20.6,,2.1,1.1,3.2,0.176,,2.5,0.9,3.4
6,Nick Townsend,31,8,567,16.4,0.517,0.469,0.16,0.321,210,10.7,15.4,13.1,10.6,1.5,0.6,10.1,19.3,,1.2,0.9,2.1,0.147,,-0.3,-0.2,-0.5
7,Casey Simmons,30,0,410,12.5,0.548,0.54,0.195,0.345,109,7.9,9.8,8.9,3.3,2.2,2.1,13.6,15.1,,0.5,0.7,1.1,0.111,,-2.9,0.8,-2
8,Yassine Gharram,31,0,430,8.2,0.428,0.396,0.234,0.325,98,4.7,13.9,9.4,15.6,1.4,0.6,19.1,13.4,,0.1,0.7,0.8,0.07,,-3.9,0.7,-3.1
9,Samson Aletan,19,0,134,19,0.687,0.696,0,0.826,43,9.8,14.6,12.2,5.2,0.9,9.1,15.8,14.9,,0.3,0.3,0.6,0.182,,-3.8,2.5,-1.3
10,Yussif Basa-Ama,13,1,57,22.6,0.502,0.5,0.071,0.143,21,18.8,12.1,15.4,15.3,3.2,2.2,0,13.8,,0.2,0.1,0.3,0.213,,2,0.3,2.3
11,Jack Molloy,17,0,104,12.6,0.464,0.438,0.438,0.094,34,14.9,14.4,14.6,3.3,0.6,2.4,8.2,18.4,,0.1,0.2,0.3,0.115,,-5.1,-2.8,-7.8
12,Emir Buyukhanli,7,0,36,10.5,0.375,0.375,0.5,0,7,6.6,16,11.4,4.5,6.7,0,20,14.6,,0,0.1,0.1,0.065,,-14.1,2.1,-12
13,Teo Rice,10,0,44,14.5,0.382,0.382,0.412,0,15,8.1,18.3,13.3,20.4,4.1,2.8,10.5,22.7,,0,0.1,0.1,0.097,,-3.1,6,2.9
14,Devon Arlington,7,0,21,15.3,0.479,0.5,0.273,0.091,9,0,11,5.6,10.4,5.8,0,14.8,33.8,,0,0,0,0.04,,-14.8,1.1,-13.7
15,Luke Kolaja,2,0,11,17.5,0.75,0.75,0.25,0,4,0,0,0,0,0,0,20,23.9,,0,0,0,0.068,,-16.2,-6,-22.2
16,Trevor Mullin,9,0,35,7.1,0.363,0.313,0.438,0.25,12,0,13.2,6.7,4.9,3.5,0,5.3,28.4,,0,0.1,0,0.022,,-15.3,-5.2,-20.6
